Appliances,Random Forest,Random Forest (error),Linear Regression,Linear Regression (error),Tree,Tree (error),kNN,kNN (error),lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,RH_out,Visibility,Tdewpoint,rv1,rv2,Press_mm_hg,Windspeed
30,30.3333,0.333333,66.0446,36.0446,25,-5,40,10,0,20.2,37.2,19.23,36.79,19.29,39.8267,16.89,38.09,17.39,44.3206,-1.82667,94.3667,16.6,32.21,19.3233,44.3083,15.9633,41.06,-0.3,89,61,-1.9,8.33782,8.33782,765.1,3
20,32,12,63.2469,43.2469,25,5,36,16,0,20.1,37.23,19.1667,36.8267,19.26,39.6633,16.89,38.09,17.3733,44.4983,-1.9,94.3,16.6,32.255,19.29,44.4167,15.9267,41.23,-0.3,88.8333,61.1667,-1.93333,43.4571,43.4571,765,3
40,36.7,-3.3,62.559,22.559,40,0,38,-2,0,20.075,37.345,19.1,36.9,19.2,39.59,16.89,38.2,17.29,44.645,-2,94.1233,16.6,32.29,19.29,44.4939,16,41.29,-0.3,88.6667,61.3333,-1.96667,4.45923,4.45923,764.9,3
40,41.1167,1.11667,60.9492,20.9492,40,0,40,0,0,20,37.29,19.0667,36.8633,19.1667,39.56,16.89,38.2,17.29,44.7611,-2,94.2633,16.6,32.3206,19.29,44.635,16,41.4333,-0.3,88.5,61.5,-2,8.15068,8.15068,764.8,3
50,46.2,-3.8,61.2642,11.2642,117.5,67.5,34,-16,0,19.9633,37.29,19,36.79,19.1,39.56,16.8233,38.1267,17.26,44.88,-1.9,94.53,16.6,32.4,19.27,44.7733,15.9267,41.5,-0.3,88.3333,61.6667,-2.03333,42.4677,42.4677,764.7,3
40,44.8333,4.83333,61.9857,21.9857,35,-5,40,0,0,19.8233,37.23,18.89,36.9,19.1,39.56,16.79,38.09,17.205,44.9444,-1.76667,94.73,16.5833,32.4111,19.275,44.8817,15.9267,41.53,-0.3,88.1667,61.8333,-2.06667,31.4065,31.4065,764.6,3
50,46,-4,61.8219,11.8219,50,0,40,-10,0,19.79,37.2,18.8233,36.9,19.1,39.56,16.79,38.09,17.2,45.045,-1.76,94.6233,16.5556,32.4667,19.23,44.8917,16,41.6633,-0.3,88,62,-2.1,10.423,10.423,764.5,3
50,47.25,-2.75,60.9296,10.9296,50,0,36,-14,0,19.79,37.2,18.79,36.9333,19.1,39.5,16.79,38.09,17.2,45.1572,-1.7225,94.6425,16.5333,32.4833,19.2,44.8878,16,41.7,-0.35,88,62,-2.15,33.643,33.643,764.533,3
40,40.3333,0.333333,62.0747,22.0747,40,0,34,-6,0,19.7,37.29,18.73,37,19.1,39.6333,16.79,38.1633,17.15,45.225,-1.79,94.4333,16.5111,32.5,19.1611,44.8389,16,41.76,-0.4,88,62,-2.2,48.2103,48.2103,764.567,3
40,41.3667,1.36667,60.3745,20.3745,40,0,36,-4,0,19.7,37.29,18.7,37.09,19.1,39.7,16.79,38.1267,17.1,45.3628,-1.86333,94.4333,16.5,32.515,19.1,44.965,16,41.9333,-0.45,88,62,-2.25,44.0869,44.0869,764.6,3
30,33.7667,3.76667,61.4201,31.4201,27.5,-2.5,34,4,0,19.6667,37.29,18.625,37.045,19.1,39.76,16.79,38.2,17.1,45.4989,-1.86333,94.4333,16.5,32.58,19.0722,45.1622,16,42,-0.5,88,62,-2.3,48.0882,48.0882,764.633,3
20,29.7333,9.73333,60.7203,40.7203,27.5,7.5,40,20,0,19.6,37.29,18.6,37.09,19.1,39.79,16.7,38.2,17.0722,45.6017,-1.96333,93.99,16.5,32.6144,19.0556,45.4444,16,42,-0.55,88,62,-2.35,23.2347,23.2347,764.667,3
30,31.5667,1.56667,58.964,28.964,27.5,-2.5,38,8,0,19.5667,37.29,18.5,37.2,19.1,39.79,16.7,38.2,17.0111,45.6817,-2.16333,93.3967,16.5,32.6328,19,45.6622,16,42.0675,-0.6,88,62,-2.4,3.64387,3.64387,764.7,3
30,30.8556,0.855556,56.314,26.314,27.5,-2.5,34,4,0,19.5,37.29,18.5,37.2,19.1,39.79,16.7,38.2,17,45.755,-2.26,93.4333,16.5,32.6756,19,45.76,16,42.1633,-0.633333,87.8333,62,-2.45,43.7154,43.7154,764.6,3
40,38.5,-1.5,61.0143,21.0143,40,0,40,0,0,19.4633,37.29,18.39,37.2,19.1,39.79,16.7,38.2,16.9817,45.8206,-2.2,93.7,16.5,32.7,19,45.8739,15.9267,42.2,-0.666667,87.6667,62,-2.5,9.94364,9.94364,764.5,3
50,41.6333,-8.36667,58.2686,8.26856,50,0,40,-10,0,19.39,37.29,18.39,37.26,19.1,39.9333,16.7,38.2,16.9267,45.9,-2.16333,93.8333,16.5,32.7,18.945,46.0756,16,42.2,-0.7,87.5,62,-2.55,26.7295,26.7295,764.4,3
40,39.8,-0.2,59.9045,19.9045,40,0,38,-2,0,19.3567,37.3267,18.29,37.3267,19.1,40,16.7,38.2,16.89,45.9722,-2.09,93.9667,16.5,32.7,18.9206,46.4244,16,42.23,-0.733333,87.3333,62,-2.6,5.27811,5.27811,764.3,3
50,42.3333,-7.66667,58.4419,8.44185,50,0,42,-8,0,19.3567,37.4,18.29,37.4,19.1,40,16.6333,38.2,16.89,46.055,-2.09,94.06,16.4756,32.72,18.9083,46.7028,16,42.29,-0.766667,87.1667,62,-2.65,19.1998,19.1998,764.2,3
30,30.6889,0.688889,60.4529,30.4529,35,5,40,10,0,19.29,37.4,18.2,37.29,19.1,40,16.6333,38.2,16.8678,46.145,-2.09,94,16.445,32.72,18.89,46.78,16,42.3267,-0.8,87,62,-2.7,37.3853,37.3853,764.1,3
40,38.6889,-1.31111,61.2566,21.2566,35,-5,34,-6,0,19.23,37.4,18.2,37.29,19.1,40.06,16.6667,38.2,16.89,46.275,-2.03,93.9667,16.4022,32.7,18.89,46.8206,16,42.4,-0.866667,87,62,-2.76667,34.7895,34.7895,764.1,3
40,41.5,1.5,62.8258,22.8258,40,0,34,-6,0,19.2,37.4,18.2,37.29,19.1,40,16.6,38.2,16.8622,46.29,-2.09,93.9,16.39,32.7,18.89,46.8328,15.9633,42.4333,-0.933333,87,62,-2.83333,4.91959,4.91959,764.1,3
50,49.6667,-0.333333,66.1702,16.1702,50,0,42,-8,0,19.125,37.475,18.1333,37.3633,19.1667,40.06,16.6,38.2,16.79,46.3328,-2,94.06,16.39,32.715,18.8622,46.765,15.9633,42.5,-1,87,62,-2.9,30.5766,30.5766,764.1,3
40,36.5,-3.5,68.5127,28.5127,40,0,38,-2,0,19.1,37.5,18.1,37.4,19.2,40.09,16.6,38.2,16.79,46.4,-2,94,16.39,32.75,18.8733,46.7994,16,42.5,-1.06667,87,62,-2.96667,1.04626,1.04626,764.1,3
20,23.3413,3.34127,71.1204,51.1204,30,10,40,20,0,19.0667,37.5,18.0333,37.3267,19.2,40.09,16.5333,38.2,16.79,46.4611,-1.845,94.345,16.39,32.78,18.84,46.745,16,42.5,-1.13333,87,62,-3.03333,32.4856,32.4856,764.1,3
20,29.3797,9.37965,71.7309,51.7309,30,10,32,12,0,19,37.5,18,37.4,19.2,40.09,16.5667,38.2,16.765,46.5,-1.7,94.56,16.39,32.79,18.8733,46.7139,16,42.59,-1.2,87,62,-3.1,48.9189,48.9189,764.1,3
30,32.0889,2.08889,73.744,43.744,35,5,38,8,0,19,37.59,18,37.4667,19.2,40.09,16.5,38.2,16.7,46.5,-1.63333,94.6267,16.39,32.79,18.8678,46.5822,16,42.59,-1.16667,86.6667,62.3333,-3.11667,42.1252,42.1252,764.017,3
40,39.1667,-0.833333,73.9544,33.9544,30,-10,38,-2,0,18.9267,37.59,17.9633,37.5,19.1667,40.23,16.5,38.2,16.7,46.565,-1.63333,94.56,16.39,32.79,18.8289,46.4578,16,42.7,-1.13333,86.3333,62.6667,-3.13333,42.1393,42.1393,763.933,3
40,41.5,1.5,75.2675,35.2675,30,-10,42,2,0,18.89,37.59,17.89,37.5,19.1,40.29,16.5,38.2,16.7,46.6328,-1.63333,94.5,16.3733,32.79,18.79,46.28,16,42.7,-1.1,86,63,-3.15,19.3726,19.3726,763.85,3
50,49,-1,75.4635,25.4635,50,0,36,-14,0,18.89,37.6633,17.89,37.53,19.1,40.29,16.5,38.2,16.7,46.7,-1.7,94.23,16.3844,32.8022,18.79,46.205,15.9633,42.73,-1.06667,85.6667,63.3333,-3.16667,39.6536,39.6536,763.767,3
50,46.5,-3.5,76.5048,26.5048,50,0,42,-8,0,18.89,37.7,17.865,37.5675,19.1,40.23,16.5,38.2,16.7,46.725,-1.7,94.1567,16.3678,32.8328,18.79,46.1694,15.9633,42.73,-1.03333,85.3333,63.6667,-3.18333,20.3098,20.3098,763.683,3
40,43,3,78.5852,38.5852,40,0,40,0,0,18.8233,37.7,17.79,37.5,19.1,40.29,16.4633,38.2233,16.6444,46.73,-1.7,94.06,16.3344,32.9,18.735,46.09,16,42.79,-1,85,64,-3.2,12.6674,12.6674,763.6,3
50,43.3333,-6.66667,77.6092,27.6092,50,0,46,-4,0,18.79,37.7,17.79,37.59,19.1,40.29,16.39,38.1633,16.6278,46.73,-1.76,93.7933,16.3067,32.9,18.7,46.09,15.9267,42.8267,-1.05,84.8333,64.1667,-3.28333,20.9652,20.9652,763.567,2.83333
40,41.9524,1.95238,78.2353,38.2353,40,0,42,2,0,18.79,37.7,17.79,37.59,19.2,40.29,16.39,38.2,16.6,46.76,-1.82667,93.6267,16.29,32.9,18.7,46.085,16,42.9,-1.1,84.6667,64.3333,-3.36667,24.775,24.775,763.533,2.66667
40,38.4857,-1.51429,76.316,36.316,40,0,38,-2,0,18.7,37.7,17.7,37.7,19.1333,40.29,16.39,38.2,16.6,46.79,-1.9,93.4333,16.29,32.9,18.7,46.01,15.9633,42.9,-1.15,84.5,64.5,-3.45,42.9123,42.9123,763.5,2.5
30,35.4857,5.48571,76.0504,46.0504,30,0,34,4,0,18.7,37.76,17.7,37.7,19.1,40.3267,16.39,38.2,16.6,46.845,-2,93.0267,16.29,32.9,18.7,46,15.9633,42.9,-1.2,84.3333,64.6667,-3.53333,36.6132,36.6132,763.467,2.33333
30,45.1333,15.1333,96.8224,66.8224,30,0,46,16,10,18.7,37.79,17.6,37.7,19.1,40.4,16.39,38.2,16.6,46.9,-2.06,92.8333,16.29,32.9,18.6889,45.9889,16,43.03,-1.25,84.1667,64.8333,-3.61667,48.7214,48.7214,763.433,2.16667
20,33.55,13.55,77.788,57.788,20,0,34,14,0,18.7,37.79,17.6,37.7,19.1,40.4,16.3567,38.2,16.6,46.9278,-2.12667,92.7,16.29,32.9,18.6278,45.9917,16,43.09,-1.3,84,65,-3.7,5.00275,5.00275,763.4,2
30,31.6603,1.66032,73.3604,43.3604,30,0,38,8,0,18.6667,38,17.6,37.79,19,40.1633,16.29,38.2,16.5389,47,-2.12667,92.7667,16.28,32.8878,18.6111,46.0183,16,43.09,-1.21667,83.5,57.5,-3.7,41.6295,41.6295,763.383,2.16667
70,68.6786,-1.32143,93.3487,23.3487,75,5,54,-16,10,18.6,38.06,17.6,37.8633,18.9267,40.03,16.29,38.2,16.5222,47.025,-1.95,93.1,16.28,32.8878,18.6111,45.6567,16,43.09,-1.13333,83,50,-3.7,22.5277,22.5277,763.367,2.33333
50,41.9889,-8.01111,73.8168,23.8168,45,-5,48,-2,0,18.6,38.1933,17.6,37.9333,18.89,39.9,16.29,38.2,16.5,47.1083,-1.76,93.4633,16.29,32.9111,18.6,45.3311,16,43.09,-1.05,82.5,42.5,-3.7,42.523,42.523,763.35,2.5
60,53.6,-6.4,100.041,40.0407,57.5,-2.5,236,176,10,18.6,38.57,17.5333,38.06,18.89,39.9,16.29,38.2,16.5,47.2,-1.63333,93.53,16.29,32.9667,18.5389,45.0306,16,43.09,-0.966667,82,35,-3.7,28.4876,28.4876,763.333,2.66667
40,45.6,5.6,104.054,64.0539,40,0,38,-2,10,18.6,38.9,17.5,38.1267,18.89,39.9,16.29,38.2,16.5,47.22,-1.6,93.4667,16.28,32.9333,18.5,44.7572,16,42.9667,-0.883333,81.5,27.5,-3.7,48.0771,48.0771,763.317,2.83333
40,45,5,102.645,62.6453,40,0,38,-2,10,18.6,39,17.5,38.3333,18.89,39.9,16.29,38.2,16.5,47.225,-1.6,93.3333,16.23,32.9278,18.4939,44.5256,16,42.8267,-0.8,81,20,-3.7,47.7375,47.7375,763.3,3
40,45,5,101.502,61.5022,40,0,218,178,10,18.6,38.9333,17.5,38.53,18.89,39.9,16.29,38.29,16.4572,47.28,-1.56667,93.3667,16.215,32.9167,18.4511,44.2317,16,42.6633,-0.683333,80.5,20.1667,-3.68333,14.189,14.189,763.233,3.16667
60,54.2778,-5.72222,103.181,43.1811,57.5,-2.5,124,64,10,18.6,39,17.5,38.59,18.89,39.8267,16.23,38.23,16.4144,47.28,-1.42667,93.56,16.2,32.9,18.39,44.0294,15.9267,42.4633,-0.566667,80,20.3333,-3.66667,36.9803,36.9803,763.167,3.33333
50,62.2385,12.2385,127.812,77.812,80,30,108,58,20,18.5333,38.9333,17.39,38.59,18.89,39.9,16.2,38.23,16.39,47.3083,-1.13333,94.1333,16.2,32.9,18.39,43.8311,16,42.29,-0.45,79.5,20.5,-3.65,3.53713,3.53713,763.1,3.5
30,35.4,5.4,84.9383,54.9383,117.5,87.5,42,12,0,18.5,38.76,17.39,38.53,18.89,39.6933,16.26,38.43,16.39,47.4,-0.933333,94.5267,16.2,32.9,18.3289,43.6328,16,42.29,-0.333333,79,20.6667,-3.63333,45.006,45.006,763.033,3.66667
80,114.533,34.5333,80.4572,0.45725,75,-5,62,-18,0,18.5,38.7,17.39,38.4667,18.76,39.0667,16.29,38.7,16.39,47.4611,-0.866667,94.4,16.2,32.9,18.29,43.5139,16,42.1633,-0.216667,78.5,20.8333,-3.61667,6.67103,6.67103,762.967,3.83333
340,197.033,-142.967,79.9542,-260.046,117.5,-222.5,164,-176,0,18.5,38.56,17.365,38.3725,18.7,39.2,16.29,38.7,16.39,47.4778,-0.733333,94.5267,16.2,32.9,18.29,43.3383,16,42.03,-0.1,78,21,-3.6,27.7943,27.7943,762.9,4
50,116.433,66.4333,82.8545,32.8545,117.5,67.5,176,126,0,18.5,38.4333,17.3567,38.29,18.7,39.2,16.2,38.59,16.39,47.4667,-0.6,94.53,16.2,32.9,18.28,43.2044,15.89,41.8,-0.0666667,78.1667,20.8333,-3.51667,30.0204,30.0204,762.883,4
50,48.8667,-1.13333,84.835,34.835,45,-5,62,12,0,18.4633,38.4667,17.29,38.29,18.6333,39.2,16.2,38.59,16.39,47.4889,-0.533333,94.6567,16.2,32.9,18.225,43.025,15.89,41.56,-0.0333333,78.3333,20.6667,-3.43333,6.64805,6.64805,762.867,4
60,51.0333,-8.96667,83.1207,23.1207,63.3333,3.33333,164,104,0,18.39,38.4,17.29,38.29,18.6,39.2,16.2,38.59,16.39,47.5,-0.4,94.3,16.2,32.9,18.2,42.9722,15.89,41.4333,0,78.5,20.5,-3.35,25.4656,25.4656,762.85,4
60,84,24,84.2106,24.2106,63.3333,3.33333,104,44,0,18.39,38.4,17.29,38.3267,18.6,39.26,16.2,38.59,16.39,47.5,-0.4,94.16,16.2,32.9,18.1778,42.8278,15.86,41.2233,0.0333333,78.6667,20.3333,-3.26667,18.3525,18.3525,762.833,4
60,58.9667,-1.03333,85.7693,25.7693,56.6667,-3.33333,60,0,0,18.39,38.4,17.29,38.4,18.6,39.29,16.2,38.5,16.3622,47.53,-0.266667,94.0633,16.2,32.95,18.1889,42.6794,15.86,41.09,0.0666667,78.8333,20.1667,-3.18333,0.165227,0.165227,762.817,4
60,58.7333,-1.26667,88.5874,28.5874,56.6667,-3.33333,60,0,0,18.39,38.4333,17.29,38.4,18.6,39.29,16.2,38.5,16.3233,47.54,-0.075,94.3725,16.2,32.9667,18.1278,42.585,15.8,40.8633,0.1,79,20,-3.1,2.39899,2.39899,762.8,4
50,40.9667,-9.03333,88.5779,38.5779,56.6667,6.66667,42,-8,0,18.39,38.5,17.29,38.4667,18.6,39.29,16.2,38.5,16.3122,47.55,0.233333,94.7,16.2,32.9278,18.1,42.51,15.8,40.73,0.283333,78.5,20.1667,-3.03333,44.1024,44.1024,762.767,4
60,77.9667,17.9667,89.4777,29.4777,65,5,42,-18,0,18.29,38.5,17.29,38.5,18.6,39.29,16.2,38.5,16.29,47.565,0.466667,94.5267,16.2,32.9611,18.1,42.4167,15.8,40.56,0.466667,78,20.3333,-2.96667,41.1759,41.1759,762.733,4
30,36.5083,6.50833,91.7044,61.7044,30,0,104,74,0,18.29,38.5,17.29,38.5,18.6,39.29,16.2,38.45,16.29,47.59,0.733333,94.4,16.2,32.9389,18.1,42.345,15.8,40.4333,0.65,77.5,20.5,-2.9,20.6515,20.6515,762.7,4
30,29.0417,-0.958333,90.9257,60.9257,30,0,42,12,0,18.3567,38.53,17.29,38.59,18.6,39.26,16.2,38.4,16.29,47.59,0.966667,95.0333,16.2,32.9389,18.0889,42.2628,15.8,40.3633,0.833333,77,20.6667,-2.83333,46.0867,46.0867,762.667,4
30,68.2083,38.2083,92.8494,62.8494,30,0,160,130,0,18.29,38.59,17.29,38.53,18.5333,39.2,16.2,38.4,16.29,47.59,1.22667,95.2267,16.2,33,18.0667,42.1633,15.8,40.23,1.01667,76.5,20.8333,-2.76667,23.8701,23.8701,762.633,4
340,239.833,-100.167,92.4283,-247.572,370,30,160,-180,0,18.29,38.59,17.39,38.5,18.5,39.23,16.29,38.59,16.29,47.59,1.63333,94.5333,16.2,33,18.0778,42.1372,15.8,40.1633,1.2,76,21,-2.7,23.7497,23.7497,762.6,4
400,241.417,-158.583,91.4715,-308.529,370,-30,176,-224,0,18.29,38.59,17.39,38.56,18.5,39.23,16.29,38.53,16.29,47.58,1.76,93.5333,16.2,33,18.0889,42.0689,15.8,40.09,1.45,75.1667,21.1667,-2.6,32.8918,32.8918,762.517,4.16667
70,134.917,64.9167,92.6076,22.6076,65,-5,58,-12,0,18.29,38.6633,17.39,38.59,18.5,39.29,16.3233,38.5,16.29,47.58,1.93333,92.1267,16.2,33,18.0667,41.9917,15.86,40.06,1.7,74.3333,21.3333,-2.5,8.16602,8.16602,762.433,4.33333
50,104.25,54.25,93.4645,43.4645,45,-5,46,-4,0,18.39,38.79,17.39,38.6633,18.5,39.29,16.3233,38.5,16.29,47.59,2.06,91.1267,16.2,33,18.0444,41.9322,15.86,40.06,1.95,73.5,21.5,-2.4,4.75972,4.75972,762.35,4.5
40,43.825,3.825,92.1912,52.1912,46.6667,6.66667,32,-8,0,18.39,38.79,17.4267,38.73,18.5,39.29,16.3567,38.4,16.27,47.57,2.36,90.6,16.25,33.05,18.0333,41.8544,15.83,39.9633,2.2,72.6667,21.6667,-2.3,43.0757,43.0757,762.267,4.66667
40,42.0333,2.03333,91.6051,51.6051,40,0,46,6,0,18.39,38.79,17.5,38.79,18.5,39.29,16.29,38.4667,16.27,47.57,2.56,91.3933,16.225,33.025,18.0556,41.8411,15.89,40.03,2.45,71.8333,21.8333,-2.2,11.994,11.994,762.183,4.83333
40,40.3667,0.366667,91.5493,51.5493,45,5,172,132,0,18.39,38.79,17.5,38.79,18.5,39.29,16.39,38.4333,16.245,47.555,2.76667,91.3667,16.225,33.025,18.0278,41.7311,15.89,39.9667,2.7,71,22,-2.1,27.7702,27.7702,762.1,5
40,52.1095,12.1095,93.1658,53.1658,40,0,32,-8,0,18.39,38.79,17.4267,38.8267,18.5,39.29,16.3233,38.5,16.2,47.515,2.96667,90.6333,16.2,33,18,41.7,15.8675,39.8725,2.83333,70.8333,22.3333,-2,42.4703,42.4703,762,5.16667
30,30.9429,0.942857,95.7521,65.7521,30,0,32,2,0,18.39,38.79,17.4267,38.8267,18.5,39.29,16.29,38.4333,16.215,47.56,3.15667,91.4333,16.225,33.0311,17.9756,41.6572,15.86,39.79,2.96667,70.6667,22.6667,-1.9,17.4824,17.4824,761.9,5.33333
30,31.5429,1.54286,96.8022,66.8022,30,0,32,2,0,18.39,38.79,17.4267,38.79,18.5,39.29,16.29,38.5,16.205,47.59,3.36333,90.7667,16.26,33.1533,18,41.59,15.83,39.7,3.1,70.5,23,-1.8,48.7869,48.7869,761.8,5.5
20,26.7095,6.70952,94.2391,74.2391,25,5,36,16,0,18.39,38.79,17.5,38.8633,18.5,39.26,16.29,38.5,16.2,47.57,3.545,89.69,16.29,33.2,18,41.59,15.89,39.7,3.23333,70.3333,23.3333,-1.7,43.4703,43.4703,761.7,5.66667
30,30.7667,0.766667,94.2929,64.2929,25,-5,38,8,0,18.39,38.76,17.5,38.9,18.5,39.2,16.29,38.5,16.2,47.59,3.73,90.03,16.29,33.2,18,41.59,15.89,39.7,3.36667,70.1667,23.6667,-1.6,37.7062,37.7062,761.6,5.83333
40,40.4333,0.433333,96.3367,56.3367,42.5,2.5,46,6,0,18.39,38.7,17.5,38.9,18.5,39.2,16.29,38.5,16.2,47.59,3.86333,90.63,16.29,33.2,18,41.575,15.83,39.6267,3.5,70,24,-1.5,11.1837,11.1837,761.5,6
50,46.7667,-3.23333,98.411,48.411,42.5,-7.5,38,-12,0,18.4267,38.73,17.4267,38.86,18.5,39.26,16.29,38.56,16.2,47.59,4.06333,90.1567,16.29,33.2,17.9694,41.525,15.86,39.56,3.53333,69.8333,23.8333,-1.5,38.4908,38.4908,761.4,6
40,41.9095,1.90952,97.2555,57.2555,42.5,2.5,36,-4,0,18.5,38.79,17.5,39,18.5,39.2,16.29,38.59,16.2,47.59,4.26333,89.3633,16.29,33.2,17.945,41.55,15.8,39.5,3.56667,69.6667,23.6667,-1.5,43.7357,43.7357,761.3,6
40,41.9667,1.96667,99.2046,59.2046,42.5,2.5,46,6,0,18.39,38.7,17.5,39,18.5,39.29,16.29,38.59,16.2,47.59,4.43333,89.8667,16.29,33.2,17.9328,41.545,15.8,39.5,3.6,69.5,23.5,-1.5,2.18966,2.18966,761.2,6
50,43.1333,-6.86667,98.8407,48.8407,50,0,44,-6,0,18.39,38.7,17.5,39,18.5,39.29,16.29,38.59,16.2,47.59,4.5,88.6,16.29,33.205,17.9144,41.5,15.8,39.5,3.63333,69.3333,23.3333,-1.5,9.98804,9.98804,761.1,6
50,45.5762,-4.42381,102.136,52.1362,50,0,32,-18,0,18.5,38.79,17.39,38.9,18.5,39.29,16.26,38.56,16.2,47.59,4.59,87.6933,16.29,33.28,17.89,41.5,15.8,39.4,3.66667,69.1667,23.1667,-1.5,42.6871,42.6871,761,6
40,42.7333,2.73333,101.789,61.7893,35,-5,40,0,0,18.4267,38.73,17.39,38.9,18.5,39.29,16.2,38.56,16.2,47.59,4.59,88.0933,16.27,33.27,17.89,41.5,15.8,39.4,3.7,69,23,-1.5,32.6127,32.6127,760.9,6
30,28.6,-1.4,99.0883,69.0883,35,5,32,2,0,18.39,38.7,17.39,39,18.5,39.29,16.2,38.59,16.2,47.59,4.59,86.8333,16.29,33.29,17.89,41.5,15.8,39.29,3.7,70.1667,22.6667,-1.28333,43.4666,43.4666,760.85,6
20,24.1667,4.16667,101.13,81.1299,20,0,38,18,0,18.39,38.79,17.39,39,18.5,39.3633,16.2,38.59,16.2,47.59,4.59,88.6267,16.29,33.2961,17.8678,41.4828,15.8,39.29,3.7,71.3333,22.3333,-1.06667,40.6818,40.6818,760.8,6
20,23.5667,3.56667,101.302,81.302,20,0,32,12,0,18.39,38.79,17.39,39,18.5,39.29,16.2,38.59,16.1611,47.59,4.59,88.4333,16.29,33.3878,17.8567,41.4817,15.8,39.2,3.7,72.5,22,-0.85,18.0724,18.0724,760.75,6
20,38.9,18.9,100.289,80.2895,20,0,46,26,0,18.39,38.79,17.39,39,18.4267,39.23,16.2,38.59,16.1444,47.6144,4.65667,89.8933,16.29,33.4,17.8178,41.4333,15.8,39.2,3.7,73.6667,21.6667,-0.633333,4.54479,4.54479,760.7,6
40,52.7667,12.7667,100.277,60.2769,40,0,114,74,0,18.39,38.79,17.29,39.03,18.39,39.23,16.2,38.59,16.1111,47.6328,4.8,90.0267,16.225,33.3389,17.79,41.4444,15.8,39.2,3.7,74.8333,21.3333,-0.416667,28.7328,28.7328,760.65,6
50,45.7,-4.3,99.7132,49.7132,46.6667,-3.33333,114,64,0,18.39,38.79,17.29,39.09,18.39,39.29,16.2,38.59,16.1278,47.7,4.8,92.5667,16.245,33.465,17.79,41.5,15.8,39.2,3.7,76,21,-0.2,32.7365,32.7365,760.6,6
50,45.5833,-4.41667,98.1962,48.1962,46.6667,-3.33333,34,-16,0,18.39,38.79,17.29,39.2,18.39,39.29,16.1333,38.6267,16.1056,47.7,4.69,92.73,16.23,33.5189,17.78,41.5,15.8,39.1633,3.58333,78,27.6667,0.0333333,41.1102,41.1102,760.6,5.83333
40,38.5,-1.5,101.033,61.0328,40,0,216,176,0,18.3567,38.9,17.29,39.2,18.39,39.29,16.1333,38.7,16.1,47.7,4.69,93.6633,16.205,33.58,17.74,41.5811,15.8,39.1725,3.46667,80,34.3333,0.266667,22.7788,22.7788,760.6,5.66667
40,39.0833,-0.916667,100.015,60.0148,40,0,40,0,0,18.29,38.9,17.29,39.26,18.39,39.3267,16.1,38.79,16.1,47.7,4.595,94.945,16.2,33.59,17.78,41.6633,15.8,39.2,3.35,82,41,0.5,49.2164,49.2164,760.6,5.5
40,37.7381,-2.2619,102.62,62.6198,40,0,44,4,0,18.29,39,17.26,39.29,18.39,39.4,16.1,38.79,16.1,47.73,4.46667,95.7933,16.2,33.6817,17.725,41.705,15.7633,39.2,3.23333,84,47.6667,0.733333,37.5199,37.5199,760.6,5.33333
40,35.7083,-4.29167,104.675,64.6752,40,0,38,-2,0,18.29,39,17.2,39.3633,18.39,39.4,16.1,38.8267,16.1,47.765,4.33333,96.3333,16.2,33.745,17.7,41.78,15.69,39.2,3.11667,86,54.3333,0.966667,6.67778,6.67778,760.6,5.16667
40,34.7798,-5.22024,104.374,64.3737,27.5,-12.5,42,2,0,18.29,39.09,17.2,39.4333,18.39,39.4,16.1,38.9,16.1,47.77,4.19,96.93,16.2,33.8572,17.7,41.8872,15.69,39.2,3,88,61,1.2,10.7587,10.7587,760.6,5
20,26.625,6.625,101.025,81.0254,27.5,7.5,34,14,0,18.29,39.1633,17.1333,39.5,18.29,39.45,16.0667,38.9667,16.1,47.79,4.12333,97.4567,16.2,33.9278,17.6833,41.9722,15.69,39.26,3,88.8333,59.1667,1.33333,42.419,42.419,760.55,5.16667
30,30.725,0.725,101.458,71.4579,27.5,-2.5,44,14,0,18.26,39.1633,17.2,39.59,18.39,39.5,16,38.9667,16.1,47.79,4.09,97.8967,16.2,34.005,17.6667,42.0567,15.69,39.29,3,89.6667,57.3333,1.46667,23.2671,23.2671,760.5,5.33333
20,29.8083,9.80833,96.114,76.114,27.5,7.5,34,14,0,18.2,39.1633,17.2,39.6633,18.3233,39.4333,16.05,39.045,16.0667,47.7861,4.03,98.1567,16.1889,34.1044,17.6111,42.0672,15.69,39.29,3,90.5,55.5,1.6,45.7884,45.7884,760.45,5.5
40,34.4167,-5.58333,96.2106,56.2106,40,0,34,-6,0,18.2,39.23,17.1,39.73,18.29,39.4,16,39.09,16.0389,47.8228,4,98.3667,16.1889,34.1967,17.6,42.1328,15.69,39.3267,3,91.3333,53.6667,1.73333,45.8279,45.8279,760.4,5.66667
40,40.5,0.5,95.4414,55.4414,40,0,38,-2,0,18.2,39.29,17.1,39.79,18.29,39.4667,16,39.1633,16,47.79,3.93333,98.56,16.1833,34.29,17.6,42.245,15.69,39.4,3,92.1667,51.8333,1.86667,40.9927,40.9927,760.35,5.83333
40,40.3333,0.333333,96.4343,56.4343,40,0,38,-2,0,18.2,39.4,17.1,39.8267,18.29,39.5,16,39.23,16,47.79,3.9,98.7267,16.1556,34.3572,17.6,42.3083,15.69,39.4,3,93,50,2,28.3451,28.3451,760.3,6
